,precision,recall,f1-score,support
Bored,1.0,0.8,0.8888888888888888,5.0
Confident,0.846875,0.8630573248407644,0.8548895899053628,314.0
Confused,0.7093023255813954,0.8591549295774648,0.7770700636942676,71.0
Curious,0.7817258883248731,0.77,0.7758186397984886,200.0
Frustrated,0.9078947368421053,0.8598130841121495,0.8832,321.0
accuracy,0.8408342480790341,0.8408342480790341,0.8408342480790341,0.8408342480790341
macro avg,0.8491595901496748,0.8304050677060758,0.8359734364574015,911.0
weighted avg,0.8441916611499116,0.8408342480790341,0.8416275281632482,911.0
